𒀊𒌋,abu
𒀜𒄿,adi
𒄴𒌋,ahu
𒄴𒌌,ahula
𒌷,ali
𒄞,alpu
𒄠𒈪𒌋,ammiu
𒁹,ana
𒀊𒇻,aplu
𒀊𒉻𒌋,appatu
𒅈𒁺,ardu
𒅈𒆠,arki
𒅈𒋥𒌋,arratu
𒀜𒋫,atta
𒀜𒄽𒌋,attunu
𒀸𒁍,axbu
𒀸𒌅,axxatu
𒁄𒂅,balTu
𒄵𒋾,birti
𒂍,biitu
𒁮𒄣,damKu
𒆗,dannu
𒁳𒁍,dibbu
𒌈𒄣,dumKu
𒂕𒌅,egertu
𒂖𒇻,ellu
𒅁𒀴,eperu
𒃷,eKlu
𒂟𒌅,erimtu
𒀉𒅎𒈬,eTemmu
𒃮𒁍,gabbu
𒊩𒍑𒁲𒊒,gammuru
𒄤𒍮,gaXXu
𒄣𒄯𒌅,gummurtu
𒄯𒁹𒈠,haramma
𒄯𒁍,harbu
𒄯𒅎𒌅,harimtu
𒄯𒊒,harru
𒄽𒌅,hubtu
𒀭,ilu
𒅎𒂇𒌋,immeru
𒀸,ina
𒅁𒋗,ipxu
𒈹𒌋,ixtaru
𒅖𒋾,ixti
𒅖𒌅,ixtu
𒆗𒍪,kalzu
𒃶𒆪,kanku
𒃶𒋀,kanxix
𒆏𒊒,kapru
𒋼𒀀𒊒,karru
𒋼𒀀𒍮,karXu
𒆤𒌅,kittu
𒆧𒁍,kixpu
𒆧𒆳𒌋,kixxatu
𒆧𒊒,kiXru
𒆰𒇻,kullu
𒆰𒈝,kullumu
𒆲𒉡,kunnu
𒆳𒌍𒉡,kursinnu
𒅆𒉡,lemnu
𒅆𒋸,lemuttu
𒈜𒁍,libbu
𒁀𒌅,libittu
𒌓𒋗,lihxu
𒅆,mahru
𒅆,mahru
𒂷,mala
𒌋𒌋𒉡,mannu
𒈥𒍮,marXu
𒈦𒇡𒌅,maXXartu
𒅖𒆪,milku
𒊩𒈠,mimma
𒈮𒅕𒊒,mugerru
𒊗,muhhu
𒈮𒀀𒆗,mukillu
𒄯𒍮,murXu
𒄷𒄭𒅕𒊒,muterru
𒈲𒀜𒁉𒁍,muxadbibu
𒈲𒄠𒄭𒍮,muxamhiXu
𒀮𒀠𒃰𒌅,nabalkattu
𒀮𒀠𒋻,nabalkutu
𒈛𒆗𒌅,nahlaptu
𒅘𒊒,nakru
𒉆𒌨𒋥𒌋,namurratu
𒀮𒄯𒌋,napharu
𒀮𒅖𒌅,napixtu
𒀮𒉿,napuxtu
𒀮𒇇,napxuru
𒍑𒉡,nidnu
𒊩𒌨𒅋𒌅,nikiltu
𒊩𒌨𒇻,niklu
𒌋𒌋𒌋,nixu
𒁄𒌓,palhix
𒉻𒅀,patiu
𒄈,patru
𒉻𒊒,paTru
𒌓𒆪,perku
𒌓𒊒,perru
𒂍𒄣,pitKu
𒂍𒋾,pitti
𒈜𒊒,puhru
𒇧𒄴𒌅,puluhtu
𒁓𒈬,purxumu
𒃮𒀠𒌅,Kabaltu
𒍛,Kablu
𒃲𒇻,Kallu
𒆕𒋗𒌋,KaKKadu
𒆠,KaKKaru
𒋗𒁍,Katpu
𒆥𒉡,Kinnu
𒄥𒁍,Kurbu
𒊐𒅀,rabiu
𒊩𒁶𒌋,raggimu
𒈛𒍮,rihXu
𒋆𒋢,riksu
𒊕,reexu
𒊩𒈬,salmu
𒌑𒆪,samku
𒊬𒁍,sarbu
𒊬𒌅,sartu
𒌍𒌋𒌋𒌅,sinnixtu
𒋻𒍮,tarXu
