ᐋ,U
ᐊᒑᐦᑯᐢ,UtsUhkOs
ᐊᒑᐦᑯᓯᐃᐧᐤ,UtsUhkOsIwIw
ᐊᒑᐁᐧᓯᐤ,UtsUwesIw
ᐊᒑᐁᐧᐃᐧᑲᒥᑯᐢ,UtsUwewIkUmIkOs
ᐊᒋᒋ,UtsItsI
ᐊᒋᒋᑳᐸᐃᐧᐤ,UtsItsIkUpUwIw
ᐊᒋᒋᐸᔨᐦᐅᐤ,UtsItsIpUyIhOw
ᐊᒋᒋᐸᔨᐤ,UtsItsIpUyIw
ᐊᒋᒋᓯᐣ,UtsItsIsIn
ᐊᒋᒋᐃᐧᐦᐁᐤ,UtsItsIwIhew
ᐊᒋᐦᑯᐢ,UtsIhkOs
ᐊᒋᐦᑯᓯᐢ,UtsIhkOsIs
ᐋᒋᐦᑎᐣ,UtsIhtIn
ᐊᒋᑳᓯᒥᐣ,UtsIkUsImIn
ᐊᒋᑳᓯᐸᑲᐧ,UtsIkUsIpUkwU
ᐋᒋᑳᐢᑌᐱᒋᑲᐣ,UtsIkUstepItsIkUn
ᐋᒋᑫᐦᐁᐧᐤ,UtsIkehwew
ᐋᒋᑫᐁᐧᐸᐦᐁᐧᐤ,UtsIkewepUhwew
ᐋᒋᒣᐤ,UtsImew
ᐋᒋᒥᑯᐃᐧᓯᐤ,UtsImIkOwIsIw
ᐋᒋᒥᑯᐃᐧᓯᐃᐧᐣ,UtsImIkOwIsIwIn
ᐋᒋᒥᓱᐢᑖᑫᐤ,UtsImIsOstUkew
ᐋᒋᒥᓱᐢᑖᑫᐃᐧᐣ,UtsImIsOstUkewIn
ᐋᒋᒥᓱᐤ,UtsImIsOw
ᐋᒋᒥᓱᐃᐧᐣ,UtsImIsOwIn
ᐋᒋᒨᐦᐁᐤ,UtsImohew
ᐋᒋᒨᒪᑲᐣ,UtsImomUkUn
ᐊᒋᒧᒣᔨᓯᒥᐣ,UtsImOmeyIsImIn
ᐊᒋᒧᓯᐢ,UtsImOsIs
ᐋᒋᒧᐢᑖᑫᐤ,UtsImOstUkew
ᐋᒋᒧᐢᑖᑫᐃᐧᐣ,UtsImOstUkewIn
ᐋᒋᒧᐢᑕᒪᐁᐧᐤ,UtsImOstUmUwew
ᐋᒋᒧᐢᑖᓱᐤ,UtsImOstUsOw
ᐋᒋᒧᐢᑖᑐᐊᐧᐠ,UtsImOstUtOwUk
ᐋᒋᒧᐢᑖᑐᐃᐧᐣ,UtsImOstUtOwIn
ᐋᒋᒧᐢᑕᐁᐧᐤ,UtsImOstUwew
ᐋᒋᒧᐤ,UtsImOw
ᐋᒋᒧᐊᐧᓯᓇᐦᐃᑲᐣ,UtsImOwUsInUhIkUn
ᐋᒋᒧᐊᐧᓯᓇᐦᐃᑲᓂᐢ,UtsImOwUsInUhIkUnIs
ᐋᒋᒧᐃᐧᐣ,UtsImOwIn
ᐋᒋᒧᐃᐧᓂᐢ,UtsImOwInIs
ᐋᒋᓯᐣ,UtsIsIn
ᐊᒋᑕᑯᒋᐣ,UtsItUkOtsIn
ᐊᒋᑕᑯᑖᐤ,UtsItUkOtUw
ᐊᒋᑕᑯᑌᐤ,UtsItUkOtew
ᐊᒋᑕᑯᑌᐤ,UtsItUkOtew
ᐊᒋᑕᒧᐤ,UtsItUmOw
ᐊᒋᑕᐢᑭᐦᐁᐤ,UtsItUskIhew
ᐊᒋᑕᐢᑭᓱᐤ,UtsItUskIsOw
ᐊᒋᑕᐢᑭᑖᐤ,UtsItUskItUw
ᐊᒋᑕᐢᑭᑌᐤ,UtsItUskItew
ᐊᒋᑕᐢᑖᐤ,UtsItUstUw
ᐊᒋᑕᐢᑌᐤ,UtsItUstew
ᐊᒋᑎᓇᒼ,UtsItInUm
ᐊᒋᑎᓀᐤ,UtsItInew
ᐊᒋᑎᓯᐣ,UtsItIsIn
ᐋᒋᐃᐧᐦᐁᐤ,UtsIwIhew
ᐋᒋᐃᐧᐦᐃᓱᐤ,UtsIwIhIsOw
ᐋᒋᐃᐧᐦᑯᑕᒼ,UtsIwIhkOtUm
ᐋᒋᐃᐧᐦᑯᑌᐤ,UtsIwIhkOtew
ᐋᒋᐃᐧᐦᑯᑌᐤ,UtsIwIhkOtew
ᐋᒋᐃᐧᑲᐦᐊᒼ,UtsIwIkUhUm
ᐋᒋᐃᐧᑲᐦᐁᐧᐤ,UtsIwIkUhwew
ᐋᒋᐃᐧᓇᒼ,UtsIwInUm
ᐋᒋᐃᐧᓇᒪᐁᐧᐤ,UtsIwInUmUwew
ᐋᒋᐃᐧᓀᐤ,UtsIwInew
ᐋᒋᐃᐧᓂᑫᐤ,UtsIwInIkew
ᐋᒋᐃᐧᓂᑫᐃᐧᐣ,UtsIwInIkewIn
ᐋᒋᐃᐧᐸᔨᐤ,UtsIwIpUyIw
ᐋᒋᐃᐧᐱᒋᑫᐃᐧᐣ,UtsIwIpItsIkewIn
ᐋᒋᐃᐧᐳᑖᐤ,UtsIwIpOtUw
ᐋᒋᐃᐧᐳᑌᐤ,UtsIwIpOtew
ᐋᒋᐃᐧᓴᒼ,UtsIwIsUm
ᐋᒋᐃᐧᓭᐧᐤ,UtsIwIswew
ᐊᒋᔭ,UtsIyUw
ᐊᒍᐢ,UtsOs
ᐊᒍᓯᐢ,UtsOsIs
ᐊᒍᐢᑳᒐᓯᐤ,UtsOskUtsUsIw
ᐊᒍᐢᑫᓯᐤ,UtsOskesIw
