ཧ་ཅང་བཟང་།,ha txaq zaq
དཔེ་ཡག་པོ།,pE yag po
ཝ་ཡེ།,wa yE
བཀྲ་ཤིས་བདེ་ལེགས།,ta xi CE lEk
བཞུགས་ཨ།,jug aa
t,མ་བྱེད།,ma djE
ཧ་ཅང་ལེགས།,ha  txaq lEk
ངོ་མཚར་ཆེ།,qo tshar txE
ཡིད་ཆེས་དཀའ།,yi txhE kah
ཚང་མ།,tshaq ma
ཡོངས་རྫོགས།,yoq dzog
རེ་རེ།,rE rE
ཁ་ཤས།,kha jE
མང་པོ།,maq po
མང་པོ།,maq po
མང་ཆེས།,maq txhE
ཉུང་ཤས།,nyuq xE
ཉུང་མཐའ།,nyuq ca
ཆེ་ཤོས།,txhE xoe
མཐའ་མར།,ca maR
ཡང་ཡང་།,yaq yaq
མགྱོགས་པོ།,gyog po
གཅིག་བྱས་ན།,txig djE na
ནུས་ཅན་གྱིས།,nu txEn gyI
ཕལ་ཆེར།,phal tsER
ཕལ་ཆེར།,phal tsER
དང་།,Caq
ཡང་ན།,yaq na
གལ་སྲིད།,gal sI
ནང་ལ།,naq la
གྱི། ཀྱི། གི ཡི། འི།,gyi
ལ།,la
མཉམ་དུ།,nyam Cu
ཆེད་དུ།,txhE Cu
མ་རེད།,ma rE
ཡིན་ན་ཡང་།,yin na yaq
འོན་ཀྱང་།,hhon kyaq
རྟག་པར།,Tag paR
འདི། དེ།,Ci
དེ།,CE
འདི།,Ci
འདི་ཚོ།,Ci tsho
དེ་ཚོ།,CE tsho
སུ།,su
ག་རེ།,ga rE
ག་དུས།,ga Cu
ག་བ་ལ།,ga wa la
ག་རེ་བྱས་ནས།,ga rE djE nE
གང་འདྲ།,gaq da
ང་།,qa
ཁྱོད།,khoe
ང་ལ།,qa la
ཁོ་ཚོ།,Kho tsho
ཁོ་ཚོ་ལ།,kho tsho la
ཁོ་ལ།,kho la
མོ་ལ།,mo la
ཁོ།,kho
མོ།,mo
ང་ཚོ།,qa tsho
ང་ཚོ་ལ།,qa tsho la
དང་པོ།,Caq po
གཉིས་པ།,nyI pa
གསུམ་པ།,sum pa
བཞི་པ།,ji pa
ལྔ་པ།,qa pa
དྲུག་པ།,dug pa
བདུན་པ།,Cun pa
བརྒྱད་པ།,gyE pa
དགུ་པ།,gu pa
བཅུ་པ།,txu pa
བརྒྱ།,gya
སྟོང་།,Toq
ས་ཡ།,sa ya
ཁྲག་ཁྲིག་ཆེན་པོ།,Thag Thig txhEn po
རྟག་པ།,Tag pa
ཚད་ཡོད་ཅན།,tshe yo txen
ཐོད་ལ།,coe la
འོག་ལ།,hhog la
གཡོན།,yoen
གཡས།,ye
རྩེ།,tsE
གཤམ།,xam
ལ།,la
སྐབས།,kab
དེའི་སྐབས།,Cei kab
ཐོག།,cog
སྒང་ལ།,gaq la
འོག་ལ།,hhog la
སྔོན་ལ།,qon la
རྗེས་ལ།,djE la
དཀྱིལ་ལ།,kyi la
ནང་ལ།,naq la
